,TransactionID,DateTime,Date_Key,Branch,Customer_ID,SKU_ID,SKU,Brand,SKU_Category,Qty,NormalPrice,DiscountedPrice,DiscountPercentage,Total_Price,Promo_Category
0,T180988,2025-10-05 10:36:29,20251005,Surabaya,C18068,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,1,7000.0,5600.0,0.2,5600.0,Promo Bundling
1,T190627,2025-10-14 19:55:03,20251014,Jakarta,C38298,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,3,5000.0,5000.0,0.0,15000.0,No Promo
2,T163333,2025-09-20 15:45:37,20250920,Semarang,C34457,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,2,4000.0,4000.0,0.0,8000.0,No Promo
3,T144819,2025-09-05 15:24:47,20250905,Surabaya,C69336,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,2,4500.0,4500.0,0.0,9000.0,No Promo
4,T029854,2025-05-12 12:22:46,20250512,Jakarta,C99301,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,3,7000.0,7000.0,0.0,21000.0,No Promo
5,T170170,2025-09-26 15:24:44,20250926,Surabaya,C99814,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,1,5500.0,5500.0,0.0,5500.0,No Promo
6,T142276,2025-09-03 15:51:17,20250903,Surabaya,C09538,S001,Richeese Wafer Keju 50g,Richeese,Wafer,1,5800.0,4350.0,0.25,4350.0,Promo Seasonal High
7,T198103,2025-10-20 09:43:00,20251020,Bandung,C13544,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,2,10000.0,10000.0,0.0,20000.0,No Promo
8,T094942,2025-07-21 16:39:31,20250721,Jakarta,C33610,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,5,3000.0,3000.0,0.0,15000.0,No Promo
9,T150349,2025-09-10 11:33:14,20250910,Jakarta,C77510,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,3,4000.0,4000.0,0.0,12000.0,No Promo
10,T037579,2025-05-21 12:27:37,20250521,Jakarta,C30181,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,1,7000.0,7000.0,0.0,7000.0,No Promo
11,T088136,2025-07-14 14:11:11,20250714,Surabaya,C16271,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,4,5800.0,5800.0,0.0,23200.0,No Promo
12,T198729,2025-10-21 11:58:37,20251021,Jakarta,C36736,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,2,5500.0,3850.0,0.3,7700.0,Promo Seasonal High
13,T050369,2025-06-05 13:56:42,20250605,Jakarta,C09903,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,1,5800.0,5800.0,0.0,5800.0,No Promo
14,T069818,2025-06-25 20:08:23,20250625,Surabaya,C42351,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,5,3000.0,2700.0,0.1,13500.0,Promo Bundling
15,T045719,2025-05-30 13:03:55,20250530,Bandung,C50696,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,2,6000.0,6000.0,0.0,12000.0,No Promo
16,T064277,2025-06-19 09:18:48,20250619,Surabaya,C54738,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,2,5000.0,4500.0,0.1,9000.0,Promo Bundling
17,T130096,2025-08-23 11:08:51,20250823,Bandung,C83061,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,2,10000.0,7000.0,0.3,14000.0,Promo Seasonal High
18,T086021,2025-07-12 11:13:40,20250712,Jakarta,C39432,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,1,7000.0,7000.0,0.0,7000.0,No Promo
19,T201889,2025-10-24 17:58:06,20251024,Jakarta,C36502,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,2,3000.0,3000.0,0.0,6000.0,No Promo
20,T032086,2025-05-15 17:20:31,20250515,Jakarta,C63928,S001,Richeese Wafer Keju 50g,Richeese,Wafer,1,5800.0,5220.0,0.1,5220.0,Promo Bundling
